"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048193","Golgi vesicle transport","38/813","294/18888",0.129251700680272,3.00283655897783,7.34041091118874,1.44513282869063e-09,6.81380128727631e-06,6.38292352545882e-06,"TMED4/KIF1C/SNX8/SEC16A/AP1G1/DNM2/KDELR2/GOLGA2/HTT/PLPP3/ARFGAP2/TRAPPC4/PEF1/RBSN/LAMP1/SPAST/MACF1/SEC31A/RABEP1/GOSR2/ARCN1/LMAN1/TRAPPC10/TRIP11/TMEM115/SEC23IP/BBS1/CYTH3/PREPL/KIF13A/TMED9/GOLGA5/RABIF/GOLPH3/EXOC6/TRAPPC3/CEP19/RAB34",38
"GO:0007029","endoplasmic reticulum organization","18/813","100/18888",0.18,4.18184501845018,6.76591217921584,2.35674792933575e-07,0.000374684849416929,0.000350991265982794,"SEC16A/NOMO2/GET4/NOMO3/VCPIP1/GET3/NOMO1/RAB3GAP2/SEC61A1/RAB3GAP1/ESYT2/REEP5/SEC31A/GRAMD2A/LMAN1/RETREG2/WNK1/TRAM2",18
"GO:0007030","Golgi organization","23/813","156/18888",0.147435897435897,3.42530040685022,6.45094552064384,2.38399692099848e-07,0.000374684849416929,0.000350991265982794,"ATP8B2/TMED4/SURF4/VPS13B/MAPK3/SEC16A/CDC42/AKAP9/GORASP1/GOLGA2/HTT/VCPIP1/ARMH3/RBSN/LMAN1/TRIP11/SEC23IP/RAB2B/GOLGA8N/TMED9/GOLGA5/HACE1/GOLPH3",23
"GO:0016050","vesicle organization","38/813","371/18888",0.102425876010782,2.37960632975602,5.69173182970221,7.24961455061415e-07,0.000854548315153643,0.000800510069852026,"VPS13B/SNX19/DIAPH3/SEC16A/ALS2/CHMP4B/AP1G1/PIKFYVE/DNM2/SNAPIN/HOOK3/VAV3/ARFGAP2/CHMP1A/TRAPPC4/PEF1/EEA1/SEC31A/PLEKHA3/GOSR2/TMEM127/ZDHHC20/TRAPPC10/IST1/KIF13A/ATP6AP2/TMED9/PAFAH1B1/WASH3P/GOLPH3/PLEKHJ1/RFX2/DLG4/TRAPPC3/HPS4/RAB34/ATP6V1F/STX16",38
"GO:0033044","regulation of chromosome organization","29/813","247/18888",0.117408906882591,2.72769917982581,5.79655032159194,9.80549472262196e-07,0.000924658152343251,0.000866186439076247,"PBRM1/PPP1R10/SMARCE1/SMC4/MAPK3/ATF7IP/XRCC1/MAP3K4/XRN1/NCAPH/HNRNPC/DLGAP5/ARID1B/UCHL5/SMARCA5/SENP6/GNL3L/TERF2/TTK/DHX36/SMARCC2/SMARCC1/TRIP13/ARID2/ANAPC1/RB1/HNRNPA2B1/SLF2/SMC2",29
"GO:0090150","establishment of protein localization to membrane","31/813","277/18888",0.111913357400722,2.60002397857914,5.68943488268253,1.18646433526139e-06,0.000932363223459576,0.000873404272062595,"SGTB/ITGAM/FRMPD1/ZDHHC12/CHMP4B/PIKFYVE/NOMO2/GET4/NOMO3/GORASP1/GET3/NOMO1/BAX/RAB3GAP2/SEC61A1/RAB3GAP1/RILPL2/COLQ/MACF1/ZDHHC20/TIMM8B/BBS1/PREPL/KIF13A/TOMM20/WNK1/ZDHHC21/TRAM2/GOLPH3/RAB34/SSR1",31
"GO:0099111","microtubule-based transport","25/813","213/18888",0.117370892018779,2.72681600055437,5.3751819609118,5.44241211165464e-06,0.00366585330092166,0.00343403928127862,"KXD1/DYNC1I2/MECP2/KIF1C/CDC42/HTT/SNAPIN/TUBA1A/TERF2/CCDC103/DYNC2I1/RAB21/OFD1/LAMP1/MAPK8IP3/SPAST/DNAAF11/RFX3/IFT88/SPAG16/KIF13A/PURA/PAFAH1B1/UXT/STK11",25
"GO:0016482","cytosolic transport","19/813","138/18888",0.13768115942029,3.19867372586769,5.49777932538756,7.3364629971117e-06,0.00432392787892271,0.00405049983366851,"TBC1D17/WASHC2C/MECP2/KIF1C/SNX8/AP1G1/PIKFYVE/ACTR2/TMEM87B/RBSN/LAMP1/SRSF10/PLEKHA3/TRAPPC10/PREPL/CLTC/WASH3P/PLEKHJ1/STX16",19
"GO:0007033","vacuole organization","26/813","234/18888",0.111111111111111,2.58138581385814,5.16234934934336,9.66290812495467e-06,0.00506229020101792,0.00474217105173214,"GABARAP/CHMP4B/PIKFYVE/PIK3C3/UBQLN1/SNAPIN/HOOK3/ATG9B/CCDC115/CHMP1A/CTSD/RAB3GAP2/RAB3GAP1/ATP2A2/LAMP1/IFT88/MTMR3/ATG13/DNAJC16/RNF5/ATP6AP2/SMURF1/WDR45/HPS4/RAB34/ATP6V1F",26
"GO:0032984","protein-containing complex disassembly","27/813","252/18888",0.107142857142857,2.4891934633632,5.04734104580707,1.28081245717107e-05,0.00603903073556161,0.00565714638977876,"WASHC2C/SMARCE1/DIAPH3/KIF18A/GABARAP/CHMP4B/PIK3C3/TAOK1/IRAK3/SCAF4/UBQLN1/SNAPIN/CHMP1A/ATP2A2/PLEK/CLEC16A/SPAST/SETX/TWF2/SMARCC2/RUBCN/IST1/SMARCC1/WNK1/HDGFL3/CLTC/ARID2",27
